path,sentence,subdir
000020a912,বাংলাদেশে দায়িত্ব নেবে,00
000039928e,এ ধরণের কার্ড নিয়ে,00
00005debc7,হতে উপার্জিত অর্থ,00
00009e687c,হাসির বিষয় হয়েই আছে,00
00012843bc,সার্ক দেশগুলোতে,00
00012880b1,সহজেই যাওয়া যায়,00
00014d427a,অন্তর্ভুক্তও করেছে রাশিয়া,00
0001e9f600,সুরকার হিসেবে,00
0001ee459b,যাতে বিবাহ শাদী দিলে,00
0001fd54d9,আপনার গল্প ছাড়া,00
0002656955,বিবাহ ব্যাপারটাকে নিয়ন্ত্রিত করাই,00
0002a04050,বীরভূম জেলা হাসপাতালে,00
0002c06046,মান্নান সৈয়দের মৃত্যুর পর বেরিয়েছে,00
0002f5e8b7,পুলিশের সন্দেহ,00
00030c9001,বাঙালি মধ্যবিত্তের ধর্ম,00
000339782d,কোন অতিবৃষ্টি অরণ্যেই,00
00033caf16,তখন তার প্রতিক্রিয়াটা,00
0004bc46f7,রয়েছেন মুখ্যমন্ত্রী,00
000549887f,তাদের হুমকি দেয়া হয়েছিল,00
000571e8eb,বিশেষ ছাড়ের ব্যবস্থা করা,00
0005c0cb27,অসাধারণ অভিনয় করেন ছবি বিশ্বাস,00
0005c694a1,দুপুরের রোদে,00
000633820e,অতঃপর ১৯৬০ সালের ২৬শে জুলাই,00
00067a3bf3,আরেকটি বড় ধরনের,00
0007ec5c58,তখন থেকেই ডাকটিকিট সংগ্রহ,00
00081f7414,শক্তি চট্টোপাধ্যায়,00
00090d52b7,মনোনয়ন বাতিলের ক্ষমতাও,00
00090e7ccd,শিরোনাম আমার ছবি,00
00092bb274,ঘানিটা ঘুরছে,00
000970168f,বিকশিত করতে চাই,00
00098b3964,পুরুষের তৈরি করা,00
00099c95d0,ষড়যন্ত্র করবে,00
0009a72716,এই মার্কিনি বাবুর্চি,00
0009c2d0f9,তা নিয়ে প্রতিযোগিতার আয়োজন,00
0009d560fe,টেবিলের ওপর,00
000a4567b4,লকার্নো আন্তর্জাতিক চলচ্চিত্র উৎসবে,00
000a50081a,সব কিছুই ঘটে চলেছে,00
000a9438d7,যার যে মূল্য প্রাপ্য,00
000ae4299c,জোড়ালো করতেই ওবামা,00
000af00d30,শুল্ক বিভাগের কর্মকর্তারা,00
000c03fe83,নাচতে হয়,00
000c053da3,বিবাহ করিলেন,00
000c77a792,কিন্তু কৃষ্ণ রথের উপর,00
000d57ddbf,তাহা লইয়া ন্যায্য,00
000d7874ee,বা অ্যালার্জির বংশগত রোগ যুক্ত,00
000dc2f08b,শাসন করত,00
000f852677,মনোযোগ দিয়েছে,00
001050deb2,পাকিস্তানের ৫৪-সদস্যের দল,00
00110b32d4,এই দ্বিগুণ দাম,00
00112a63e8,প্রায়ই ‘এককাট্টা শ্রেণী’ হিসেবে নিয়েছেন,00
00113d863f,কষ্টের কথা,00
0011dc9c2f,"টেলিফিল্ম, নাটক ও চলচ্চিত্রে",00
0011edfd6e,মীর কাসেম আলীর বিরুদ্ধে,00
00122e09b7,সবচেয়ে দামী খাবারটি,00
0012321d7b,প্রিয় শাবিপ্রবির উদ্দেশে,00
00128c7353,অথচ কোনো খবর নেই,00
0012b9b651,আঙুলের নখ,00
0012fe9553,দীর্ঘ দিন,00
00133b44f7,শিগগিরই একটা ভালো,00
001352d84c,দ্বিতীয় বাছাই,00
0013a12315,লেবাননের সীমান্তে,00
0013c091de,উদাহরণস্বরূপ বলা,00
0014058b5f,এছাড়াও সহিংসতায়,00
001415e92d,সাজানোর জন্য,00